rank,country,regime_type,overall_score,electorat_and_pluralism,government,poli­tical_partici­pation,poli­tical_cul­ture,civil_liber­ties
1,Norway,Full democracy,9.75,10.00,9.64,10.00,10.00,9.12
2,New Zealand,Full democracy,9.37,10.00,8.93,9.44,8.75,9.71
3,Finland,Full democracy,9.27,10.00,9.29,8.89,8.75,9.41
4,Sweden,Full democracy,9.26,9.58,9.29,8.33,10.00,9.12
5,Iceland,Full democracy,9.18,10.00,8.21,8.89,9.38,9.41
6,Denmark,Full democracy,9.09,10.00,8.93,8.33,9.38,8.82
7,Ireland,Full democracy,9.00,10.00,7.86,8.33,9.38,9.41
8,Taiwan,Full democracy,8.99,10.00,9.64,7.78,8.13,9.41
9,Australia,Full democracy,8.90,10.00,8.57,7.78,8.75,9.41
9,Switzerland,Full democracy,8.90,9.58,8.93,7.78,9.38,8.82
11,Netherlands,Full democracy,8.88,9.58,8.93,8.33,8.75,8.82
12,Canada,Full democracy,8.87,10.00,8.21,8.89,8.13,9.12
13,Uruguay,Full democracy,8.85,10.00,8.57,7.22,8.75,9.71
14,Luxembourg,Full democracy,8.68,10.00,8.57,6.67,8.75,9.41
15,Germany,Full democracy,8.67,9.58,8.21,8.33,8.13,9.12
16,South Korea,Full democracy,8.16,9.58,8.57,7.22,7.50,7.94
17,Japan,Full democracy,8.15,9.17,8.57,6.67,8.13,8.24
18,United Kingdom,Full democracy,8.10,9.58,7.50,8.33,6.25,8.82
19,Mauritius,Full democracy,8.08,9.17,7.86,6.11,8.75,8.53
20,Austria,Full democracy,8.07,9.58,6.79,8.89,6.88,8.24
20,Costa Rica,Full democracy,8.07,9.58,6.43,7.78,6.88,9.71
22,France,Flawed democracy,7.99,9.58,7.50,7.78,6.88,8.24
23,Israel,Flawed democracy,7.97,9.58,7.50,10.00,6.88,5.88
24,Spain,Flawed democracy,7.94,9.58,7.14,7.22,7.50,8.24
25,Chile,Flawed democracy,7.92,9.58,7.86,5.56,7.50,9.12
26,United States,Flawed democracy,7.85,9.17,6.43,8.89,6.25,8.53
27,Estonia,Flawed democracy,7.84,9.58,7.86,6.67,6.88,8.24
28,Portugal,Flawed democracy,7.82,9.58,7.14,6.67,6.88,8.82
29,Czech Republic,Flawed democracy,7.74,9.58,6.43,6.67,7.50,8.53
30,Botswana,Flawed democracy,7.73,9.17,6.79,6.67,7.50,8.53
31,Italy,Flawed democracy,7.68,9.58,6.43,7.22,7.50,7.65
32,Cape Verde,Flawed democracy,7.65,9.17,7.00,6.67,6.88,8.53
33,Malta,Flawed democracy,7.57,9.17,6.79,5.56,8.13,8.24
34,Greece,Flawed democracy,7.56,9.58,6.07,6.11,7.50,8.53
35,Slovenia,Flawed democracy,7.54,9.58,6.43,7.22,6.25,8.24
36,Belgium,Flawed democracy,7.51,9.58,7.86,5.00,6.88,8.24
37,Cyprus,Flawed democracy,7.43,9.17,5.36,7.22,6.88,8.53
38,Latvia,Flawed democracy,7.31,9.58,6.07,6.11,6.25,8.53
39,Malaysia,Flawed democracy,7.24,9.58,7.86,7.22,6.25,5.29
40,Lithuania,Flawed democracy,7.18,9.58,6.07,6.11,5.63,8.53
41,Trinidad and Tobago,Flawed democracy,7.16,9.58,7.14,6.11,5.63,7.35
42,Jamaica,Flawed democracy,7.13,8.75,7.14,5.00,6.25,8.53
43,East Timor,Flawed democracy,7.06,9.58,5.93,5.56,6.88,7.35
44,South Africa,Flawed democracy,7.05,7.42,7.14,8.33,5.00,7.35
45,Slovakia,Flawed democracy,7.03,9.58,6.43,5.56,5.63,7.94
46,India,Flawed democracy,6.91,8.67,7.50,7.22,5.00,6.18
47,Brazil,Flawed democracy,6.86,9.58,5.36,6.11,5.63,7.65
48,Panama,Flawed democracy,6.85,9.58,6.07,7.22,3.75,7.65
49,Suriname,Flawed democracy,6.82,9.58,6.07,6.11,5.00,7.35
50,Argentina,Flawed democracy,6.81,9.17,5.00,7.22,5.00,7.65
51,Poland,Flawed democracy,6.80,9.17,6.07,6.67,5.63,6.47
52,Indonesia,Flawed democracy,6.71,7.92,7.86,7.22,4.38,6.18
53,Bulgaria,Flawed democracy,6.64,9.17,5.36,7.22,4.38,7.06
54,Philippines,Flawed democracy,6.62,9.17,5.00,7.78,4.38,6.76
55,Namibia,Flawed democracy,6.52,7.00,5.36,6.67,5.63,7.94
56,Croatia,Flawed democracy,6.50,9.17,6.07,6.11,4.38,6.76
56,Ghana,Flawed democracy,6.50,8.33,5.36,6.67,6.25,5.88
56,Hungary,Flawed democracy,6.50,8.33,6.43,5.00,6.25,6.47
59,Colombia,Flawed democracy,6.48,9.17,5.71,6.11,3.75,7.65
60,Dominican Republic,Flawed democracy,6.45,9.17,5.00,6.67,4.38,7.06
61,Romania,Flawed democracy,6.43,9.17,6.07,6.11,3.75,7.06
62,Mongolia,Flawed democracy,6.42,8.75,5.71,6.11,5.63,5.88
63,Serbia,Flawed democracy,6.36,8.25,6.07,6.67,3.75,7.06
64,Lesotho,Flawed democracy,6.30,9.17,4.14,6.11,5.63,6.47
65,Guyana,Flawed democracy,6.25,6.92,6.07,5.56,5.63,7.06
66,Singapore,Flawed democracy,6.23,4.83,8.21,4.44,7.50,6.18
67,Sri Lanka,Flawed democracy,6.14,7.00,5.71,5.56,6.25,6.18
68,Albania,Flawed democracy,6.11,7.00,6.43,4.44,5.63,7.06
69,Moldova,Flawed democracy,6.10,7.00,5.71,6.67,4.38,6.76
69,Papua New Guinea,Flawed democracy,6.10,6.92,6.07,3.89,6.25,7.35
71,Peru,Flawed democracy,6.09,8.75,5.36,5.56,3.75,7.06
72,Thailand,Flawed democracy,6.04,7.00,5.00,6.67,6.25,5.29
73,North Macedonia,Flawed democracy,6.03,7.42,6.43,6.11,3.13,7.06
74,Montenegro,Flawed democracy,6.02,7.42,6.43,6.67,3.13,6.47
75,Bangladesh,Hybrid regime,5.99,7.42,6.07,5.56,5.63,5.29
